nodeKey,kpikey,type,average,floating Range,Strvalue,agentId,average,arisingTime
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,60.05272651,,,AAAATest,60.05272651,2018-06-13 09:00:00
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,43.0198662,,,AAAATest,43.0198662,2018-06-13 09:00:26
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,39.77664416,,,AAAATest,39.77664416,2018-06-13 09:00:50
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,36.3665718,,,AAAATest,36.3665718,2018-06-13 09:01:14
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,31.31937329,,,AAAATest,31.31937329,2018-06-13 09:01:40
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,36.55,,,AAAATest,36.55,2018-06-13 09:02:05
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,33.8584381,,,AAAATest,33.8584381,2018-06-13 09:02:30
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,31.83455867,,,AAAATest,31.83455867,2018-06-13 09:02:55
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,28.80547884,,,AAAATest,28.80547884,2018-06-13 09:03:20
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,30.68423668,,,AAAATest,30.68423668,2018-06-13 09:03:45
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,33.12989717,,,AAAATest,33.12989717,2018-06-13 09:04:10
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,37.77,,,AAAATest,37.77,2018-06-13 09:04:35
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,41.01200631,,,AAAATest,41.01200631,2018-06-13 09:05:00
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,46.4330454,,,AAAATest,46.4330454,2018-06-13 09:05:24
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,45.52243376,,,AAAATest,45.52243376,2018-06-13 09:05:50
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,50.0857667,,,AAAATest,50.0857667,2018-06-13 09:06:16
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,51.81687475,,,AAAATest,51.81687475,2018-06-13 09:06:40
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,44.55512995,,,AAAATest,44.55512995,2018-06-13 09:07:05
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,46.13463385,,,AAAATest,46.13463385,2018-06-13 09:07:30
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,44.74853541,,,AAAATest,44.74853541,2018-06-13 09:07:55
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,42.01835891,,,AAAATest,42.01835891,2018-06-13 09:08:20
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,43.0187704,,,AAAATest,43.0187704,2018-06-13 09:08:45
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,49.04052032,,,AAAATest,49.04052032,2018-06-13 09:09:10
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,72.01863242,,,AAAATest,72.01863242,2018-06-13 09:09:35
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,58.74115543,,,AAAATest,58.74115543,2018-06-13 09:10:00
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,63.40614256,,,AAAATest,63.40614256,2018-06-13 09:10:25
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,70.53247279,,,AAAATest,70.53247279,2018-06-13 09:10:50
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,68.47063728,,,AAAATest,68.47063728,2018-06-13 09:11:16
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,75.36,,,AAAATest,75.36,2018-06-13 09:11:40
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,80.23,,,AAAATest,80.23,2018-06-13 09:12:05
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,87.38529131,,,AAAATest,87.38529131,2018-06-13 09:12:30
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,92.56,,,AAAATest,92.56,2018-06-13 09:12:55
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,95.65,,,AAAATest,95.65,2018-06-13 09:13:21
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,97.19790872,,,AAAATest,97.19790872,2018-06-13 09:13:45
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,98.49233923,,,AAAATest,98.49233923,2018-06-13 09:14:10
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,95.65,,,AAAATest,95.65,2018-06-13 09:14:33
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,90.01655542,,,AAAATest,90.01655542,2018-06-13 09:15:00
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,77.14823641,,,AAAATest,77.14823641,2018-06-13 09:15:25
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,87.57361923,,,AAAATest,87.57361923,2018-06-13 09:15:50
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,83.17957706,,,AAAATest,83.17957706,2018-06-13 09:16:15
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,85.60761491,,,AAAATest,85.60761491,2018-06-13 09:16:40
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,60.88846836,,,AAAATest,60.88846836,2018-06-13 09:17:05
FinancialSystem_Test10,Application_P_Transcation_SuccessRate,1,73.99030166,,,AAAATest,73.99030166,2018-06-13 09:17:30
